"No.","Time","Source","Destination","Protocol","Length","Info"
"138","72.694247","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 137#1] 37210  >  80 [ACK] Seq=852 Ack=2146 Win=131072 Len=0 TSval=239107152 TSecr=1432771191"
"139","72.702315","172.16.0.5","192.168.50.1","TCP","66","37210  >  80 [FIN, ACK] Seq=852 Ack=2146 Win=131072 Len=0 TSval=239107153 TSecr=1432771191"
"140","72.702317","172.16.0.5","192.168.50.1","TCP","66","[TCP Retransmission] 37210  >  80 [FIN, ACK] Seq=852 Ack=2146 Win=131072 Len=0 TSval=239107153 TSecr=1432771191"
"141","72.702443","192.168.50.1","172.16.0.5","TCP","66","80  >  37210 [FIN, ACK] Seq=2146 Ack=853 Win=31104 Len=0 TSval=1432771193 TSecr=239107153"
"142","72.702445","192.168.50.1","172.16.0.5","TCP","66","[TCP Retransmission] 80  >  37210 [FIN, ACK] Seq=2146 Ack=853 Win=31104 Len=0 TSval=1432771193 TSecr=239107153"
"143","72.702589","172.16.0.5","192.168.50.1","TCP","66","37210  >  80 [ACK] Seq=853 Ack=2147 Win=131072 Len=0 TSval=239107153 TSecr=1432771193"
"144","72.702592","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 143#1] 37210  >  80 [ACK] Seq=853 Ack=2147 Win=131072 Len=0 TSval=239107153 TSecr=1432771193"
"145","73.003554","172.16.0.5","192.168.50.1","TCP","74","37216  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239107183 TSecr=0 WS=2048"
"146","73.003556","172.16.0.5","192.168.50.1","TCP","74","[TCP Retransmission] 37216  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=239107183 TSecr=0 WS=2048"
"147","73.003673","192.168.50.1","172.16.0.5","TCP","74","80  >  37216 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432771268 TSecr=239107183 WS=128"
"148","73.003675","192.168.50.1","172.16.0.5","TCP","74","[TCP Retransmission] 80  >  37216 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=1432771268 TSecr=239107183 WS=128"
"149","73.003803","172.16.0.5","192.168.50.1","TCP","66","37216  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239107183 TSecr=1432771268"
"150","73.003806","172.16.0.5","192.168.50.1","TCP","66","[TCP Dup ACK 149#1] 37216  >  80 [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=239107183 TSecr=1432771268"
"151","73.004056","172.16.0.5","192.168.50.1","HTTP","546","GET /c.php?ip=2403:6200:8870:48e3:498f:5736:78de:8381 HTTP/1.1 "
